Source,Category,Title,Link
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Trash to Treasure Move-In Sale 2025,https://events.tulane.edu/content/trash-treasure-move-sale-2025-4
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Shabbat Dinner and Services,https://events.tulane.edu/content/shabbat-dinner-and-services
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Trash to Treasure Move-In Sale 2025,https://events.tulane.edu/content/trash-treasure-move-sale-2025-5
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Takeover,https://events.tulane.edu/content/tulane-takeover-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",LBC Movie Night in the Village Theater | Superbad (2007),https://events.tulane.edu/content/lbc-movie-night-village-theater-superbad-2007
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Sunday Brunch and Worship,https://events.tulane.edu/content/sunday-brunch-and-worship
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Hillel Tabling on McAlister!,https://events.tulane.edu/content/tulane-hillel-tabling-mcalister-2
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Advising Drop-Ins with NTC College Advising,https://events.tulane.edu/content/advising-drop-ins-ntc-college-advising
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Afternoon Coffee and Tea hosted by Chi Alpha,https://events.tulane.edu/content/afternoon-coffee-and-tea-hosted-chi-alpha-14
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",SOM Birthday Celebration with the Deans,https://events.tulane.edu/content/som-birthday-celebration-deans-14
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",A Taste of Latin America,https://events.tulane.edu/content/taste-latin-america
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Open House Mobile Coffee Cart,https://events.tulane.edu/content/open-house-mobile-coffee-cart
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Tuesday | Chee Wees Snacks,https://events.tulane.edu/content/tulane-tuesday-chee-wees-snacks
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Lunch with the Deans,https://events.tulane.edu/content/lunch-deans-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Global Cafe Fall 2025 Series,https://events.tulane.edu/content/global-cafe-fall-2025-series-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Pathway to Computational Biology,https://events.tulane.edu/content/pathway-computational-biology
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",OFSP Event Training,https://events.tulane.edu/content/ofsp-event-training
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Undergraduate Assembly Welcome Back & Elections,https://events.tulane.edu/content/tulane-undergraduate-assembly-welcome-back-elections
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Undergraduate Assembly Welcome Back & Elections,https://events.tulane.edu/content/tulane-undergraduate-assembly-welcome-back-elections-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",The Rat Grand Opening | Pizza,https://events.tulane.edu/content/rat-grand-opening-pizza
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Mindfulness Meet Ups for Faculty and Staff,https://events.tulane.edu/content/mindfulness-meet-ups-faculty-and-staff
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Virtual 3-Part Workshop: From Theory to Practice:  Creating Organizational Change for Health Equity,https://events.tulane.edu/content/virtual-3-part-workshop-theory-practice-creating-organizational-change-health-equity-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",COB Open House,https://events.tulane.edu/content/cob-open-house-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",CPT Info Session for F-1 Students,https://events.tulane.edu/content/cpt-info-session-f-1-students-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Virtual Game Night + Registered Student Organization Fair,https://events.tulane.edu/content/virtual-game-night-registered-student-organization-fair
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Welcome Back BBQ!,https://events.tulane.edu/content/welcome-back-bbq-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Join The Hullabaloo! Introductory meeting for interested students,https://events.tulane.edu/content/join-hullabaloo-introductory-meeting-interested-students
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",The Rat Grand Opening | Stuff-a-Plush,https://events.tulane.edu/content/rat-grand-opening-stuff-plush
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",CPS Internships & International Experiences - Tabling Info Session,https://events.tulane.edu/content/cps-internships-international-experiences-tabling-info-session
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Global Scholars Welcome Week Tabling,https://events.tulane.edu/content/global-scholars-welcome-week-tabling
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Coffee & Conversation: New Orleans Knowledge,https://events.tulane.edu/content/coffee-conversation-new-orleans-knowledge
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Common Ground Weekly Worship,https://events.tulane.edu/content/common-ground-weekly-worship
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Get to Know Chi Alpha,https://events.tulane.edu/content/get-know-chi-alpha-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Pub Trivia in The Rat,https://events.tulane.edu/content/pub-trivia-rat
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",2025 WSPH Emergency Preparedness Presentation,https://events.tulane.edu/content/2025-wsph-emergency-preparedness-presentation
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Fridays at Hillel,https://events.tulane.edu/content/fridays-hillel-41
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Hillel Tabling On McAlister,https://events.tulane.edu/content/tulane-hillel-tabling-mcalister-5
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Caffeinated Conversations,https://events.tulane.edu/content/caffeinated-conversations
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Shatter The Red Zone,https://events.tulane.edu/content/shatter-red-zone
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Arts & Crafts!,https://events.tulane.edu/content/arts-crafts-17
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Shabbat Services and Dinner,https://events.tulane.edu/content/shabbat-services-and-dinner-15
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Welcome Back Cookout,https://events.tulane.edu/content/welcome-back-cookout
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",WSPH SGA Back to School Bowling,https://events.tulane.edu/content/wsph-sga-back-school-bowling
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Karaoke in The Rat,https://events.tulane.edu/content/karaoke-rat
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",LBC Movie Night in the Village Theater | Lilo & Stitch (2025),https://events.tulane.edu/content/lbc-movie-night-village-theater-lilo-stitch-2025
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Student Employment: Fall 2025 Student Part-Time Job Fair,https://events.tulane.edu/content/student-employment-fall-2025-student-part-time-job-fair
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",PHDS Welcome Week Tabling,https://events.tulane.edu/content/phds-welcome-week-tabling
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Academic Training Info Session for J-1 Students,https://events.tulane.edu/content/academic-training-info-session-j-1-students-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Navigating WSPH: Part 1,https://events.tulane.edu/content/navigating-wsph-part-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Afternoon Coffee and Tea hosted by Chi Alpha,https://events.tulane.edu/content/afternoon-coffee-and-tea-hosted-chi-alpha-15
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",NPHC's Guide to Tulane,https://events.tulane.edu/content/nphcs-guide-tulane
